application_id,age,sex,race,employment_length,annual_income,loan_amount,loan_purpose,debt_to_income_ratio,credit_lines_open,total_credit_limit,revolving_balance,credit_utilization,delinquencies_2y,inquiries_6m,oldest_account_months,home_ownership,default_probability,loan_status
APP_42_000000,43,F,Hispanic,2.5290371555329956,106989.21233739842,6849.190017854188,credit_card,0.05733964453451516,16,56128.61038805847,12474.771667136625,0.22225334959995144,1,1,12,MORTGAGE,0.258869805220512,0
APP_42_000001,36,F,White,2.963818011213151,37168.84203288423,40000.0,credit_card,0.3445282973006204,12,59647.099109388415,8904.771828403711,0.1492909456011098,0,0,14,OWN,0.46396093254374715,0
APP_42_000002,45,M,Hispanic,4.58888835110396,91576.92393682626,3691.8064803368693,debt_consolidation,0.09280037692453147,2,80066.13148193271,21145.38751012716,0.2640990281252531,1,1,104,MORTGAGE,0.2711133048639599,0
APP_42_000003,56,F,White,3.625041260227198,112353.7912698833,15487.560977182604,debt_consolidation,0.0492644660240074,12,14574.993126395933,5050.096939332665,0.3464905194491464,0,0,16,MORTGAGE,0.277268470177318,0
APP_42_000004,35,F,White,12.590785232588233,82092.74551373362,40000.0,debt_consolidation,0.1464544514547905,8,22560.813127615424,6730.133368421032,0.2983107625754434,0,0,57,RENT,0.3050759669286468,0
APP_42_000005,35,M,Hispanic,3.435462564603948,34052.79170823979,13432.60011340032,major_purchase,0.31132039396033917,7,23325.65664157521,20493.068063451403,0.878563393877836,0,2,12,MORTGAGE,0.6784325370821641,1
APP_42_000006,56,M,White,24.241316326801176,62457.27826267398,11475.490418358368,debt_consolidation,0.06314816119027103,4,16098.462529549764,3305.4015967526097,0.20532405443596444,0,0,202,RENT,0.17322650588405902,0
APP_42_000007,47,M,Hispanic,9.533325566641402,43482.86017683653,10037.101554256038,credit_card,0.06679110867997086,5,7197.056995213036,1376.011296571158,0.19119082945798282,0,2,33,MORTGAGE,0.26679580470749165,0
APP_42_000008,32,M,Hispanic,1.1691934191971594,25653.065802082478,11564.399559914813,debt_consolidation,0.12458145686568187,5,5000.0,1167.8900453196718,0.23357800906393436,1,3,190,OTHER,0.47332751832641673,0
APP_42_000009,44,M,White,13.338997302944271,59552.61991518888,40000.0,home_improvement,0.33753061334617995,4,106500.76429424838,29168.978684293437,0.27388515826706344,0,1,231,MORTGAGE,0.4386942739800439,0
APP_42_000010,32,M,White,0.6185638975497147,24162.959135053425,2276.764126112939,debt_consolidation,0.04507020791877896,7,8968.70250212067,1507.2394496741995,0.1680554627960744,0,2,12,MORTGAGE,0.24221383398603416,0
APP_42_000011,32,M,White,8.503647870053628,99968.22186099165,40000.0,major_purchase,0.3378709970735755,9,148725.59073378134,67156.5633217935,0.4515467915807689,1,5,49,RENT,0.6412137084145799,1
APP_42_000012,40,M,Black,2.395208093335486,32643.343846588927,4276.2608691639925,major_purchase,0.24528103224578604,7,70648.24448532827,19390.251294572507,0.27446189832217754,0,2,12,OWN,0.22137954923117478,0
APP_42_000013,18,F,Other,10.51761884121618,50884.527838170034,10793.270711123343,debt_consolidation,0.06007681254105677,6,25207.086850116535,1296.0979708453428,0.05141799917428185,0,0,191,MORTGAGE,0.16725068874786683,0
APP_42_000014,18,M,Black,10.126914595778134,51130.64748086588,9476.82348579848,other,0.058815587298127,7,63245.54025701106,2035.6706220249698,0.03218678524608391,1,1,58,RENT,0.214641345426936,0
APP_42_000015,31,F,White,8.197563291787237,38610.340448273295,21393.50426291663,other,0.2445052557988402,4,53242.90962065699,11961.083735237158,0.22465120370875713,0,1,12,RENT,0.3753686185361514,0
APP_42_000016,25,M,Black,7.803963467821306,61339.722235138615,3720.0802458255102,major_purchase,0.014944364985709883,9,13472.462594282852,66.28871723848043,0.0049203118416235635,0,0,12,OWN,0.13511636789570475,0
APP_42_000017,41,F,White,1.8169093479589338,33917.154474960924,19336.274775836857,major_purchase,0.23467960954072306,10,35829.254508507736,9219.3295075427,0.25731290349213237,1,1,38,MORTGAGE,0.42554868571680965,0
APP_42_000018,27,M,Hispanic,0.42190664600374733,74415.37575303651,40000.0,debt_consolidation,0.13294237545527052,11,15035.135455285734,813.7689527922586,0.05412448429296797,0,2,225,OWN,0.3406158141157357,0
APP_42_000019,21,M,White,2.579024823711498,21859.965682481212,4489.339190628249,credit_card,0.08519450955198583,11,65428.62952347468,2180.2990260873576,0.03332331797206761,2,0,94,MORTGAGE,0.26630994573614303,0
APP_42_000020,55,F,Hispanic,0.9529251168332877,43786.70988906827,15549.207226487915,debt_consolidation,0.16938940895339372,8,19078.191270794032,10236.653260460816,0.5365630900310587,1,1,161,RENT,0.5105959235415141,0
APP_42_000021,35,F,White,5.93641575488737,144347.05607020893,7866.859838319711,debt_consolidation,0.031552559780567396,10,33290.701988768466,7406.868762798472,0.2224906151062054,0,2,36,OWN,0.2489379902675875,0
APP_42_000022,38,F,Asian,2.1240021310655317,24746.011321883652,18783.042835450615,other,0.21010307845296855,9,32022.080930209915,1920.2302156989476,0.05996581608434402,1,1,12,MORTGAGE,0.4007904579723017,0
APP_42_000023,20,M,White,18.567951510635414,32641.932626147493,13565.949540360774,debt_consolidation,0.12275176424256808,8,40514.73850044779,2086.1859123890613,0.0514920246212623,0,0,292,RENT,0.3134323693949738,0
APP_42_000024,31,M,Black,5.121775572680622,58718.57165320019,7996.909813802548,home_improvement,0.5318084179347089,3,162153.64213537268,81410.47871933786,0.5020576636285047,0,0,12,MORTGAGE,0.4740326007204736,0
APP_42_000025,39,F,Asian,8.643375877049689,50229.98611043339,19737.937572059647,major_purchase,0.1262178938551672,5,29235.39686255353,4452.27232760803,0.1522904699580381,0,3,235,RENT,0.322397004568433,0
APP_42_000026,24,F,White,0.7108410438327972,55658.85428103805,40000.0,major_purchase,0.2062797035904369,7,108676.88790981186,5225.811009099584,0.04808576238800976,0,0,36,RENT,0.26394274218826996,0
APP_42_000027,42,F,Asian,9.903032716682254,60483.78969247668,11467.554357762645,other,0.06874694267103694,7,55937.89267615754,3905.1738240353166,0.06981267325609894,0,3,12,RENT,0.25095038412060866,0
APP_42_000028,30,F,Black,12.804007243080664,58082.39591850009,23761.130533444397,debt_consolidation,0.5347453561784702,8,130165.53836595365,70435.0560141961,0.5411190772796683,1,0,93,MORTGAGE,0.6581798196784471,1
APP_42_000029,34,M,White,3.3380007027412466,95398.66896342936,4747.538887010705,debt_consolidation,0.019264043639911632,5,26779.92433111465,1939.8744144956033,0.0724376361378188,0,5,315,MORTGAGE,0.20681086490167197,0
